Match_ID,Phase,White_X,White_Y,White_R
mac01,1,682,221,297
mac01,2,640,183,160
mac01,3,686,187,99
mac01,4,697,132,19
mac02,1,709,940,294
mac02,2,627,882,170
mac02,3,619,930,78
mac02,4,559,924,58
mac03,1,898,351,290
mac03,2,917,399,160
mac03,3,722,335,96
mac03,4,953,471,41
mac04,1,365,407,307
mac04,2,420,438,161
mac04,3,413,440,96
mac04,4,314,395,33
mac05,1,392,294,302
mac05,2,425,327,162
mac05,3,466,291,101
mac05,4,458,263,57
mac06,1,663,903,301
mac06,2,583,907,163
mac06,3,651,894,107
mac06,4,648,864,58
